ID qu?n huy?n,ID t?nh thành,??n v?,Tên Qu?n huy?n,Tên ??y ??,,,,,,,,,,,,,,,,,,,,
1,29,Huy?n,Bình Chánh,"Huy?n Bình Chánh, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
2,29,Qu?n,Bình Tân,"Qu?n Bình Tân, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
3,29,Qu?n,Bình Th?nh,"Qu?n Bình Th?nh, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
4,29,Huy?n,C?n Gi?,"Huy?n C?n Gi?, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
5,29,Huy?n,C? Chi,"Huy?n C? Chi, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
6,29,Qu?n,Gò V?p,"Qu?n Gò V?p, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
7,29,Huy?n,Hóc Môn,"Huy?n Hóc Môn, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
8,29,Huy?n,Nhà Bè,"Huy?n Nhà Bè, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
9,29,Qu?n,Phú Nhu?n,"Qu?n Phú Nhu?n, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
10,29,Qu?n,Qu?n 1,"Qu?n 1, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
11,29,Qu?n,Qu?n 10,"Qu?n 10, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
12,29,Qu?n,Qu?n 11,"Qu?n 11, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
13,29,Qu?n,Qu?n 12,"Qu?n 12, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
14,29,Thành ph?,Th? ??c,"Thành ph? Th? ??c, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
15,29,Qu?n,Qu?n 3,"Qu?n 3, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
16,29,Qu?n,Qu?n 4,"Qu?n 4, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
17,29,Qu?n,Qu?n 5,"Qu?n 5, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
18,29,Qu?n,Qu?n 6,"Qu?n 6, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
19,29,Qu?n,Qu?n 7,"Qu?n 7, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
20,29,Qu?n,Qu?n 8,"Qu?n 8, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
22,29,Qu?n,Tân Bình,"Qu?n Tân Bình, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
23,29,Qu?n,Tân Phú,"Qu?n Tân Phú, H? Chí Minh",,,,,,,,,,,,,,,,,,,,
25,22,Qu?n,Ba ?ình,"Qu?n Ba ?ình, Hà N?i",,,,,,,,,,,,,,,,,,,,
26,22,Huy?n,Ba Vì,"Huy?n Ba Vì, Hà N?i",,,,,,,,,,,,,,,,,,,,
27,22,Qu?n,B?c T? Liêm,"Qu?n B?c T? Liêm, Hà N?i",,,,,,,,,,,,,,,,,,,,
28,22,Qu?n,C?u Gi?y,"Qu?n C?u Gi?y, Hà N?i",,,,,,,,,,,,,,,,,,,,
29,22,Huy?n,Ch??ng M?,"Huy?n Ch??ng M?, Hà N?i",,,,,,,,,,,,,,,,,,,,
30,22,Huy?n,?an Ph??ng,"Huy?n ?an Ph??ng, Hà N?i",,,,,,,,,,,,,,,,,,,,
31,22,Huy?n,?ông Anh,"Huy?n ?ông Anh, Hà N?i",,,,,,,,,,,,,,,,,,,,
32,22,Qu?n,??ng ?a,"Qu?n ??ng ?a, Hà N?i",,,,,,,,,,,,,,,,,,,,
33,22,Huy?n,Gia Lâm,"Huy?n Gia Lâm, Hà N?i",,,,,,,,,,,,,,,,,,,,
34,22,Qu?n,Hà ?ông,"Qu?n Hà ?ông, Hà N?i",,,,,,,,,,,,,,,,,,,,
35,22,Qu?n,Hai Bà Tr?ng,"Qu?n Hai Bà Tr?ng, Hà N?i",,,,,,,,,,,,,,,,,,,,
36,22,Huy?n,Hoài ??c,"Huy?n Hoài ??c, Hà N?i",,,,,,,,,,,,,,,,,,,,
37,22,Qu?n,Hoàn Ki?m,"Qu?n Hoàn Ki?m, Hà N?i",,,,,,,,,,,,,,,,,,,,
38,22,Qu?n,Hoàng Mai,"Qu?n Hoàng Mai, Hà N?i",,,,,,,,,,,,,,,,,,,,
39,22,Qu?n,Long Biên,"Qu?n Long Biên, Hà N?i",,,,,,,,,,,,,,,,,,,,
40,22,Huy?n,Mê Linh,"Huy?n Mê Linh, Hà N?i",,,,,,,,,,,,,,,,,,,,
41,22,Huy?n,M? ??c,"Huy?n M? ??c, Hà N?i",,,,,,,,,,,,,,,,,,,,
42,22,Qu?n,Nam T? Liêm,"Qu?n Nam T? Liêm, Hà N?i",,,,,,,,,,,,,,,,,,,,
43,22,Huy?n,Phú Xuyên,"Huy?n Phú Xuyên, Hà N?i",,,,,,,,,,,,,,,,,,,,
44,22,Huy?n,Phúc Th?,"Huy?n Phúc Th?, Hà N?i",,,,,,,,,,,,,,,,,,,,
45,22,Huy?n,Qu?c Oai,"Huy?n Qu?c Oai, Hà N?i",,,,,,,,,,,,,,,,,,,,
46,22,Huy?n,Sóc S?n,"Huy?n Sóc S?n, Hà N?i",,,,,,,,,,,,,,,,,,,,
47,22,Th? xã,S?n Tây,"Th? xã S?n Tây, Hà N?i",,,,,,,,,,,,,,,,,,,,
48,22,Qu?n,Tây H?,"Qu?n Tây H?, Hà N?i",,,,,,,,,,,,,,,,,,,,
49,22,Huy?n,Th?ch Th?t,"Huy?n Th?ch Th?t, Hà N?i",,,,,,,,,,,,,,,,,,,,
50,22,Huy?n,Thanh Oai,"Huy?n Thanh Oai, Hà N?i",,,,,,,,,,,,,,,,,,,,
51,22,Huy?n,Thanh Trì,"Huy?n Thanh Trì, Hà N?i",,,,,,,,,,,,,,,,,,,,
52,22,Qu?n,Thanh Xuân,"Qu?n Thanh Xuân, Hà N?i",,,,,,,,,,,,,,,,,,,,
53,22,Huy?n,Th??ng Tín,"Huy?n Th??ng Tín, Hà N?i",,,,,,,,,,,,,,,,,,,,
54,22,Huy?n,?ng Hòa,"Huy?n ?ng Hòa, Hà N?i",,,,,,,,,,,,,,,,,,,,
55,15,Qu?n,C?m L?,"Qu?n C?m L?, ?à N?ng",,,,,,,,,,,,,,,,,,,,
56,15,Qu?n,H?i Châu,"Qu?n H?i Châu, ?à N?ng",,,,,,,,,,,,,,,,,,,,
57,15,Huy?n,Hòa Vang,"Huy?n Hòa Vang, ?à N?ng",,,,,,,,,,,,,,,,,,,,
58,15,Huy?n,Hoàng Sa,"Huy?n Hoàng Sa, ?à N?ng",,,,,,,,,,,,,,,,,,,,
59,15,Qu?n,Liên Chi?u,"Qu?n Liên Chi?u, ?à N?ng",,,,,,,,,,,,,,,,,,,,
60,15,Qu?n,Ng? Hành S?n,"Qu?n Ng? Hành S?n, ?à N?ng",,,,,,,,,,,,,,,,,,,,
61,15,Qu?n,S?n Trà,"Qu?n S?n Trà, ?à N?ng",,,,,,,,,,,,,,,,,,,,
62,15,Qu?n,Thanh Khê,"Qu?n Thanh Khê, ?à N?ng",,,,,,,,,,,,,,,,,,,,
63,73,Huy?n,Bàu Bàng,"Huy?n Bàu Bàng, Bình D??ng",,,,,,,,,,,,,,,,,,,,
64,73,Th? xã,B?n Cát,"Th? xã B?n Cát, Bình D??ng",,,,,,,,,,,,,,,,,,,,
65,73,Huy?n,D?u Ti?ng,"Huy?n D?u Ti?ng, Bình D??ng",,,,,,,,,,,,,,,,,,,,
66,73,Thành ph?,Thành ph? D? An,"Thành ph? D? An, Bình D??ng",,,,,,,,,,,,,,,,,,,,
67,73,Huy?n,Phú Giáo,"Huy?n Phú Giáo, Bình D??ng",,,,,,,,,,,,,,,,,,,,
68,73,Th? xã,Tân Uyên,"Th? xã Tân Uyên, Bình D??ng",,,,,,,,,,,,,,,,,,,,
69,73,Thành ph?,Th? D?u M?t,"Thành ph? Th? D?u M?t, Bình D??ng",,,,,,,,,,,,,,,,,,,,
70,73,Thành ph?,Thành ph? Thu?n An,"Thành ph? Thu?n An, Bình D??ng",,,,,,,,,,,,,,,,,,,,
71,17,Thành ph?,Biên Hòa,"Thành ph? Biên Hòa, ??ng Nai",,,,,,,,,,,,,,,,,,,,
72,17,Huy?n,C?m M?,"Huy?n C?m M?, ??ng Nai",,,,,,,,,,,,,,,,,,,,
73,17,Huy?n,??nh Quán,"Huy?n ??nh Quán, ??ng Nai",,,,,,,,,,,,,,,,,,,,
74,17,Thành ph?,Thành ph? Long Khánh,"Thành ph? Long Khánh, ??ng Nai",,,,,,,,,,,,,,,,,,,,
75,17,Huy?n,Long Thành,"Huy?n Long Thành, ??ng Nai",,,,,,,,,,,,,,,,,,,,
76,17,Huy?n,Nh?n Tr?ch,"Huy?n Nh?n Tr?ch, ??ng Nai",,,,,,,,,,,,,,,,,,,,
77,17,Huy?n,Huy?n Tân Phú,"Huy?n Tân Phú, ??ng Nai",,,,,,,,,,,,,,,,,,,,
78,17,Huy?n,Th?ng Nh?t,"Huy?n Th?ng Nh?t, ??ng Nai",,,,,,,,,,,,,,,,,,,,
79,17,Huy?n,Tr?ng Bom,"Huy?n Tr?ng Bom, ??ng Nai",,,,,,,,,,,,,,,,,,,,
80,17,Huy?n,V?nh C?u,"Huy?n V?nh C?u, ??ng Nai",,,,,,,,,,,,,,,,,,,,
81,17,Huy?n,Xuân L?c,"Huy?n Xuân L?c, ??ng Nai",,,,,,,,,,,,,,,,,,,,
82,30,Huy?n,Cam Lâm,"Huy?n Cam Lâm, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
83,30,Thành ph?,Cam Ranh,"Thành ph? Cam Ranh, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
84,30,Huy?n,Diên Khánh,"Huy?n Diên Khánh, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
85,30,Huy?n,Khánh S?n,"Huy?n Khánh S?n, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
86,30,Huy?n,Khánh V?nh,"Huy?n Khánh V?nh, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
87,30,Thành ph?,Nha Trang,"Thành ph? Nha Trang, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
88,30,Th? xã,Ninh Hòa,"Th? xã Ninh Hòa, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
89,30,Huy?n,Tr??ng Sa,"Huy?n Tr??ng Sa, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
90,30,Huy?n,V?n Ninh,"Huy?n V?n Ninh, Khánh Hòa",,,,,,,,,,,,,,,,,,,,
