ID Ph??ng xã,ID t?nh thành,ID Qu?n huy?n,??n v?,Tên Ph??ng xã,,
1,29,1,Xã,An Phú Tây,,
3,29,1,Xã,Bình H?ng,,
6,29,1,Xã,H?ng Long,,
8,29,1,Xã,Ph?m V?n Hai,,
11,29,1,Xã,Tân Kiên,,
12,29,1,Xã,Tân Nh?t,,
13,29,1,Xã,Tân Quý Tây,,
14,29,1,Th? tr?n,Tân Túc,,
17,29,2,Ph??ng,An L?c,,
26,29,2,Ph??ng,Tân T?o A,,
30,29,3,Ph??ng,13,,
31,29,3,Ph??ng,14,,
32,29,3,Ph??ng,15,,
34,29,3,Ph??ng,19,,
36,29,3,Ph??ng,21,,
41,29,3,Ph??ng,27,,
43,29,3,Ph??ng,3,,
45,29,3,Ph??ng,6,,
48,29,4,Xã,Bình Khánh,,
49,29,4,Th? tr?n,C?n Th?nh,,
50,29,4,Xã,Long Hòa,,
51,29,4,Xã,Lý Nh?n,,
53,29,4,Xã,Th?nh An,,
55,29,5,Xã,An Phú,,
58,29,5,Th? tr?n,C? Chi,,
61,29,5,Xã,Ph?m V?n C?i,,
64,29,5,Xã,Ph??c Hi?p,,
65,29,5,Xã,Ph??c Th?nh,,
69,29,5,Xã,Tân Th?nh ?ông,,
70,29,5,Xã,Tân Th?nh Tây,,
71,29,5,Xã,Tân Thông H?i,,
75,29,5,Xã,Trung L?p H?,,
77,29,6,Ph??ng,1,,
78,29,6,Ph??ng,10,,
79,29,6,Ph??ng,11,,
80,29,6,Ph??ng,12,,
84,29,6,Ph??ng,16,,
88,29,6,Ph??ng,5,,
90,29,6,Ph??ng,7,,
91,29,6,Ph??ng,8,,
92,29,6,Ph??ng,9,,
96,29,7,Xã,Nh? Bình,,
98,29,7,Xã,Tân Th?i Nhì,,
99,29,7,Xã,Tân Xuân,,
100,29,7,Xã,Th?i Tam Thôn,,
102,29,7,Xã,Xuân Th?i ?ông,,
103,29,7,Xã,Xuân Th?i S?n,,
104,29,7,Xã,Xuân Th?i Th??ng,,
105,29,8,Xã,Hi?p Ph??c,,
106,29,8,Xã,Long Th?i,,
108,29,8,Xã,Nh?n ??c,,
109,29,8,Xã,Phú Xuân,,
110,29,8,Xã,Ph??c Ki?n,,
111,29,8,Xã,Ph??c L?c,,
112,29,9,Ph??ng,1,,
118,29,9,Ph??ng,15,,
119,29,9,Ph??ng,17,,
120,29,9,Ph??ng,2,,
122,29,9,Ph??ng,3,,
124,29,9,Ph??ng,5,,
126,29,9,Ph??ng,7,,
128,29,9,Ph??ng,9,,
290,29,22,Ph??ng,10,,
291,29,22,Ph??ng,11,,
294,29,22,Ph??ng,14,,
301,29,22,Ph??ng,7,,
302,29,22,Ph??ng,8,,
303,29,22,Ph??ng,9,,
304,29,23,Ph??ng,Hi?p Tân,,
305,29,23,Ph??ng,Hòa Th?nh,,
307,29,23,Ph??ng,Phú Th? Hòa,,
309,29,23,Ph??ng,S?n K?,,
312,29,23,Ph??ng,Tân Thành,,
329,22,25,Ph??ng,??i C?n,,
332,22,25,Ph??ng,Liê?u Giai,,
337,22,25,Ph??ng,Qua?n Tha?nh,,
338,22,25,Ph??ng,Tha?nh Công,,
339,22,25,Ph??ng,Tru?c Ba?ch,,
340,22,25,Ph??ng,Vi?nh Phu?c,,
341,22,26,Xã,Ba Tr?i,,
342,22,26,Xã,Ba Vì,,
345,22,26,Xã,Châu S?n,,
346,22,26,Xã,Chu Minh,,
347,22,26,Xã,C? ?ô,,
348,22,26,Xã,?ông Quang,,
352,22,26,Xã,Minh Quang,,
354,22,26,Xã,Phú Châu,,
355,22,26,Xã,Phú C??ng,,
358,22,26,Xã,Phú S?n,,
360,22,26,Xã,T?n H?ng,,
361,22,26,Xã,T?n L?nh,,
362,22,26,Th? tr?n,Tây ??ng,,
364,22,26,Xã,Thu?n M?,,
366,22,26,Xã,Tiên Phong,,
368,22,26,Xã,Vân Hòa,,
369,22,26,Xã,V?n Th?ng,,
371,22,26,Xã,Yên Bài,,
375,22,27,Ph??ng,??c Th?ng,,
379,22,27,Ph??ng,Phúc Di?n,,
380,22,27,Ph??ng,Tây T?u,,
382,22,27,Ph??ng,Th?y Ph??ng,,
384,22,27,Ph??ng,Xuân T?o,,
393,22,29,Th? tr?n,Chúc S?n,,
399,22,29,Xã,Hòa Chính,,
405,22,29,Xã,Lam ?i?n,,
407,22,29,Xã,Nam Ph??ng Ti?n,,
408,22,29,Xã,Ng?c Hòa,,
411,22,29,Xã,Ph?ng Châu,,
412,22,29,Xã,Qu?ng B?,,
413,22,29,Xã,Tân Ti?n,,
415,22,29,Xã,Th??ng V?c,,
416,22,29,Xã,Th?y H??ng,,
417,22,29,Xã,Th?y Xuân Tiên,,
418,22,29,Xã,Tiên Ph??ng,,
421,22,29,Xã,Trung Hòa,,
422,22,29,Xã,Tr??ng Yên,,
423,22,29,Xã,V?n Võ,,
427,22,30,Xã,H? M?,,
429,22,30,Xã,Liên Hà,,
430,22,30,Xã,Liên H?ng,,
431,22,30,Xã,Liên Trung,,
434,22,30,Xã,Song Ph??ng,,
435,22,30,Xã,Tân H?i,,
437,22,30,Xã,Th? An,,
438,22,30,Xã,Th? Xuân,,
439,22,30,Xã,Th??ng M?,,
442,22,31,Xã,C? Loa,,
444,22,31,Th? tr?n,?ông Anh,,
446,22,31,Xã,D?c Tú,,
450,22,31,Xã,Liên Hà,,
452,22,31,Xã,Nam H?ng,,
457,22,31,Xã,Tiên D??ng,,
458,22,31,Xã,Uy N?,,
459,22,31,Xã,Vân Hà,,
460,22,31,Xã,Vân N?i,,
461,22,31,Xã,Vi?t Hùng,,
463,22,31,Xã,Võng La,,
464,22,31,Xã,Xuân Canh,,
466,22,32,Ph??ng,Ca?t Linh,,
470,22,32,Ph??ng,Kim Liên,,
471,22,32,Ph??ng,La?ng Ha?,,
472,22,32,Ph??ng,La?ng Th???ng,,
474,22,32,Ph??ng,Nga? T? S??,,
477,22,32,Ph??ng,Ph??ng Mai,,
478,22,32,Ph??ng,Quang Trung,,
479,22,32,Ph??ng,Quô?c T?? Gia?m,,
480,22,32,Ph??ng,Thi?nh Quang,,
481,22,32,Ph??ng,Thô? Quan,,
482,22,32,Ph??ng,Trung Li?t,,
483,22,32,Ph??ng,Trung Phu?ng,,
484,22,32,Ph??ng,Trung T??,,
486,22,32,Ph??ng,V?n Miê?u,,
488,22,33,Xã,C? Bi,,
490,22,33,Xã,??ng Xá,,
492,22,33,Xã,?ông D?,,
493,22,33,Xã,D??ng Hà,,
494,22,33,Xã,D??ng Quang,,
495,22,33,Xã,D??ng Xá,,
496,22,33,Xã,Kiêu K?,,
497,22,33,Xã,Kim Lan,,
498,22,33,Xã,Kim S?n,,
499,22,33,Xã,L? Chi,,
500,22,33,Xã,Ninh Hi?p,,
502,22,33,Xã,Phú Th?,,
503,22,33,Th? tr?n,Trâu Qu?,,
504,22,33,Xã,Trung M?u,,
509,22,34,Ph??ng,Biên Giang,,
510,22,34,Ph??ng,??ng Mai,,
511,22,34,Ph??ng,D??ng N?i,,
513,22,34,Ph??ng,Ki?n H?ng,,
515,22,34,Ph??ng,M? Lao,,
517,22,34,Ph??ng,Phú La,,
518,22,34,Ph??ng,Phú Lãm,,
519,22,34,Ph??ng,Phú L??ng,,
522,22,34,Ph??ng,V?n Phúc,,
523,22,34,Ph??ng,V?n Quán,,
524,22,34,Ph??ng,Yên Ngh?a,,
526,22,35,Ph??ng,Ba?ch ???ng,,
527,22,35,Ph??ng,Ba?ch Khoa,,
528,22,35,Ph??ng,Ba?ch Mai,,
531,22,35,Ph??ng,?ô?ng Ma?c,,
532,22,35,Ph??ng,?ô?ng Nhân,,
535,22,35,Ph??ng,Minh Khai,,
540,22,35,Ph??ng,Quy?nh Lôi,,
543,22,35,Ph??ng,Thanh Nha?n,,
544,22,35,Ph??ng,Tr??ng ??nh,,
545,22,35,Ph??ng,Vi?nh Tuy,,
549,22,36,Xã,??c S?,,
552,22,36,Xã,??c Giang,,
553,22,36,Xã,??c Th??ng,,
556,22,36,Xã,La Phù,,
558,22,36,Xã,Minh Khai,,
559,22,36,Xã,S?n ??ng,,
560,22,36,Xã,Song Ph??ng,,
561,22,36,Xã,Ti?n Yên,,
563,22,36,Xã,Vân Canh,,
565,22,36,Xã,Yên S?,,
567,22,37,Ph??ng,C??a ?ông,,
568,22,37,Ph??ng,C??a Nam,,
570,22,37,Ph??ng,Ha?ng Ba?c,,
571,22,37,Ph??ng,Ha?ng Ba?i,,
572,22,37,Ph??ng,Ha?ng Bô?,,
574,22,37,Ph??ng,Ha?ng Buô?m,,
577,22,37,Ph??ng,Ha?ng Ma?,,
578,22,37,Ph??ng,Ha?ng Trô?ng,,
580,22,37,Ph??ng,Phan Chu Trinh,,
584,22,38,Ph??ng,??i Kim,,
585,22,38,Ph??ng,??nh Công,,
587,22,38,Ph??ng,Hoàng Li?t,,
590,22,38,Ph??ng,Mai ??ng,,
593,22,38,Ph??ng,Th?nh Li?t,,
594,22,38,Ph??ng,Tr?n Phú,,
596,22,38,Ph??ng,V?nh H?ng,,
599,22,39,Ph??ng,C? Kh?i,,
602,22,39,Ph??ng,Giang Biên,,
603,22,39,Ph??ng,Long Biên,,
605,22,39,Ph??ng,Ng?c Th?y,,
606,22,39,Ph??ng,Phúc ??ng,,
610,22,39,Ph??ng,Th??ng Thanh,,
612,22,40,Th? tr?n,Chi ?ông,,
613,22,40,Xã,Chu Phan,,
615,22,40,Xã,Hoàng Kim,,
617,22,40,Xã,Liên M?c,,
620,22,40,Xã,Tam ??ng,,
621,22,40,Xã,Th?ch ?à,,
624,22,40,Xã,Ti?n Th?ng,,
625,22,40,Xã,Ti?n Th?nh,,
627,22,40,Xã,T? L?p,,
628,22,40,Xã,V?n Khê,,
630,22,41,Xã,An M?,,
631,22,41,Xã,An Phú,,
637,22,41,Xã,??ng Tâm,,
639,22,41,Xã,H?p Thanh,,
641,22,41,Xã,Hùng Ti?n,,
642,22,41,Xã,H??ng S?n,,
643,22,41,Xã,Lê Thanh,,
644,22,41,Xã,M? Thành,,
649,22,41,Xã,Tuy Lai,,
653,22,42,Ph??ng,??i M?,,
655,22,42,Ph??ng,M? ?ình 1,,
656,22,42,Ph??ng,M? ?ình 2,,
658,22,42,Ph??ng,Ph??ng Canh,,
661,22,42,Ph??ng,Xuân Ph??ng,,
663,22,43,Xã,Châu Can,,
664,22,43,Xã,Chuyên M?,,
665,22,43,Xã,??i Th?ng,,
667,22,43,Xã,Hoàng Long,,
669,22,43,Xã,H?ng Thái,,
670,22,43,Xã,Khai Thái,,
674,22,43,Th? tr?n,Phú Minh,,
678,22,43,Xã,Phúc Ti?n,,
679,22,43,Xã,Ph??ng D?c,,
685,22,43,Xã,Tri Th?y,,
686,22,43,Xã,Tri Trung,,
687,22,43,Xã,V?n Hoàng,,
692,22,44,Xã,Hát Môn,,
696,22,44,Xã,Ng?c T?o,,
697,22,44,Xã,Phúc Hòa,,
699,22,44,Xã,Ph?ng Th??ng,,
702,22,44,Xã,Tam Hi?p,,
703,22,44,Xã,Tam Thu?n,,
705,22,44,Xã,Th? L?c,,
712,22,44,Xã,Võng Xuyên,,
714,22,45,Xã,C?n H?u,,
715,22,45,Xã,C?ng Hòa,,
718,22,45,Xã,?ông Xuân,,
720,22,45,Xã,Hòa Th?ch,,
721,22,45,Xã,Li?p Tuy?t,,
722,22,45,Xã,Ngh?a H??ng,,
724,22,45,Xã,Ng?c M?,,
726,22,45,Xã,Phú Mãn,,
731,22,45,Xã,Tân Phú,,
732,22,45,Xã,Th?ch Thán,,
733,22,45,Xã,Tuy?t Ngh?a,,
734,22,45,Xã,Yên S?n,,
737,22,46,Xã,?ông Xuân,,
738,22,46,Xã,??c Hoà,,
741,22,46,Xã,Kim L?,,
742,22,46,Xã,Mai ?ình,,
743,22,46,Xã,Minh Phú,,
744,22,46,Xã,Minh Trí,,
746,22,46,Xã,Phú C??ng,,
748,22,46,Xã,Phù L?,,
749,22,46,Xã,Phú Minh,,
750,22,46,Xã,Quang Ti?n,,
751,22,46,Th? tr?n,Sóc S?n,,
752,22,46,Xã,Tân Dân,,
753,22,46,Xã,Tân H?ng,,
758,22,46,Xã,Vi?t Long,,
760,22,46,Xã,Xuân Thu,,
762,22,47,Xã,???ng Lâm,,
765,22,47,Ph??ng,Ngô Quy?n,,
766,22,47,Ph??ng,Phú Th?nh,,
767,22,47,Ph??ng,Quang Trung,,
771,22,47,Ph??ng,Trung H?ng,,
772,22,47,Ph??ng,Trung S?n Tr?m,,
773,22,47,Ph??ng,Viên S?n,,
778,22,48,Ph??ng,Phú Th??ng,,
779,22,48,Ph??ng,Qu?ng An,,
782,22,48,Ph??ng,Xuân La,,
785,22,49,Xã,Bình Yên,,
787,22,49,Xã,C?n Ki?m,,
788,22,49,Xã,Canh N?u,,
789,22,49,Xã,Chàng S?n,,
792,22,49,Xã,??ng Trúc,,
794,22,49,Xã,H??ng Ng?i,,
795,22,49,Xã,H?u B?ng,,
797,22,49,Xã,L?i Th??ng,,
804,22,49,Xã,Ti?n Xuân,,
808,22,50,Xã,Bình Minh,,
816,22,50,Th? tr?n,Kim Bài,,
817,22,50,Xã,Kim Th?,,
818,22,50,Xã,Liên Châu,,
820,22,50,Xã,Ph??ng Trung,,
821,22,50,Xã,Tam H?ng,,
822,22,50,Xã,Tân ??c,,
823,22,50,Xã,Thanh Cao,,
824,22,50,Xã,Thanh Mai,,
828,22,51,Xã,??i Áng,,
829,22,51,Xã,?ông M?,,
830,22,51,Xã,Duyên Hà,,
833,22,51,Xã,Ng?c H?i,,
836,22,51,Xã,Tam Hi?p,,
837,22,51,Xã,Tân Tri?u,,
838,22,51,Xã,Thanh Li?t,,
840,22,51,Th? tr?n,V?n ?i?n,,
841,22,51,Xã,V?n Phúc,,
843,22,51,Xã,Yên M?,,
846,22,52,Ph??ng,Kh??ng Mai,,
850,22,52,Ph??ng,Ph??ng Li?t,,
852,22,52,Ph??ng,Thanh Xuân Nam,,
854,22,52,Ph??ng,Th??ng ?ình,,
858,22,53,Xã,Hà H?i,,
859,22,53,Xã,Hi?n Giang,,
861,22,53,Xã,H?ng Vân,,
862,22,53,Xã,Khánh Hà,,
865,22,53,Xã,Minh C??ng,,
867,22,53,Xã,Nguy?n Trãi,,
868,22,53,Xã,Nh? Khê,,
869,22,53,Xã,Ninh S?,,
871,22,53,Xã,Tân Minh,,
872,22,53,Xã,Th?ng L?i,,
876,22,53,Xã,Ti?n Phong,,
877,22,53,Xã,Tô Hi?u,,
879,22,53,Xã,V?n Bình,,
880,22,53,Xã,V?n ?i?m,,
881,22,53,Xã,V?n Phú,,
914,15,55,Ph??ng,Hòa An,,
915,15,55,Ph??ng,Hòa Phát,,
917,15,55,Ph??ng,Hòa Th? Tây,,
918,15,55,Ph??ng,Hòa Xuân,,
919,15,55,Ph??ng,Khuê Trung,,
921,15,56,Ph??ng,Hòa Thu?n ?ông,,
923,15,56,Ph??ng,Bình Thu?n,,
924,15,56,Ph??ng,H?i Châu II,,
925,15,56,Ph??ng,Hòa C??ng B?c,,
927,15,56,Ph??ng,Hòa Thu?n Tây,,
929,15,56,Ph??ng,Ph??c Ninh,,
945,15,59,Ph??ng,Hòa Hi?p Nam,,
946,15,59,Ph??ng,Hòa Khánh B?c,,
950,15,60,Ph??ng,Hoà H?i,,
951,15,60,Ph??ng,Hoà Quý,,
953,15,61,Ph??ng,An H?i B?c,,
957,15,61,Ph??ng,N?i Hiên ?ông,,
958,15,61,Ph??ng,Ph??c M?,,
961,15,62,Ph??ng,Chính Gián,,
965,15,62,Ph??ng,Th?c Gián,,
966,15,62,Ph??ng,Thanh Khê ?ông,,
967,15,62,Ph??ng,Thanh Khê Tây,,
969,15,62,Ph??ng,V?nh Trung,,
970,15,62,Ph??ng,Xuân Hà,,
972,73,63,Xã,H?ng Hòa,,
973,73,63,Xã,Lai H?ng,,
976,73,63,Xã,Long Nguyên,,
977,73,63,Xã,Tân H?ng,,
985,73,64,Xã,Phú An,,
987,73,64,Ph??ng,Th?i Hòa,,
988,73,65,Xã,An L?p,,
989,73,65,Th? tr?n,D?u Ti?ng,,
992,73,65,Xã,??nh Thành,,
997,73,65,Xã,Minh Th?nh,,
998,73,65,Xã,Thanh An,,
1007,73,67,Xã,An Bình,,
1009,73,67,Xã,An Long,,
1010,73,67,Xã,An Thái,,
1011,73,67,Xã,Ph??c Hoà,,
1013,73,67,Th? tr?n,Ph??c V?nh,,
1015,73,67,Xã,Tân Hi?p,,
1017,73,67,Xã,V?nh Hoà,,
1027,73,717,Xã,Tân ??nh,,
1029,73,717,Xã,Tân L?p,,
1037,73,717,Xã,Th??ng Tân,,
1098,17,72,Xã,Lâm San,,
1099,17,72,Th? tr?n,Long Giao,,
1100,17,72,Xã,Nhân Ngh?a,,
1101,17,72,Xã,Sông Nh?n,,
1102,17,72,Xã,Sông Ray,,
1104,17,72,Xã,Xuân B?o,,
1107,17,72,Xã,Xuân M?,,
